평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10),합계 대형증발량(mm),피해면적_등급
14.0,0.0,1.3,40.4,5.9,1012.9,15.64,0.0,1.5,3.5,1
14.0,0.0,1.3,40.4,5.9,1012.9,15.64,0.0,1.5,3.5,2
13.2,0.0,1.9,38.8,5.4,1014.1,16.51,0.0,0.1,4.2,1
13.2,0.0,1.9,38.8,5.4,1014.1,16.51,0.0,0.1,4.2,1
13.1,0.0,4.9,59.1,8.8,1012.4,17.7,0.0,0.5,4.0,1
6.5,0.0,0.9,47.5,4.0,1009.1,18.28,0.0,0.8,3.2,1
9.5,0.0,1.1,32.5,3.5,1016.3,19.2,0.0,0.0,3.9,1
7.9,0.0,1.0,41.0,4.1,1019.0,17.31,0.0,0.1,3.0,1
9.3,0.0,0.7,46.0,5.2,1018.8,18.31,0.0,1.9,2.8,1
6.7,0.0,1.5,54.4,5.0,1018.9,17.54,0.0,0.8,2.8,1
5.6,0.0,1.2,51.4,3.9,1024.4,17.84,0.0,0.8,3.2,1
6.4,0.0,1.0,53.3,4.8,1020.5,12.48,0.0,4.4,1.8,1
8.0,0.0,1.8,51.1,5.3,1021.5,14.2,0.0,4.8,2.4,2
8.5,0.0,0.9,36.5,3.7,1019.5,18.53,0.0,5.4,3.2,1
3.3,0.0,1.8,66.9,5.1,1025.0,17.32,0.0,0.8,2.0,1
5.1,0.0,1.1,35.6,2.8,1019.8,20.23,0.0,1.4,3.0,1
3.5,0.0,1.4,54.9,4.2,1017.1,17.58,0.0,0.8,2.3,1
2.4,0.0,2.5,42.4,3.0,1021.0,19.01,0.0,0.0,2.7,1
3.5,0.0,2.2,32.6,2.5,1019.8,21.04,0.0,0.0,3.2,1
4.9,0.0,6.1,28.8,2.4,1018.3,20.66,0.0,0.0,4.8,1
8.0,0.0,2.0,40.9,4.3,1014.0,19.25,0.0,0.9,3.7,2
1.9,0.0,1.0,55.5,3.6,1031.1,18.34,0.0,0.0,2.7,1
8.7,0.0,2.4,34.6,3.6,1032.0,19.14,0.0,0.0,4.5,1
6.2,0.0,1.4,33.8,2.8,1020.9,18.93,0.0,0.0,3.6,2
1.5,0.0,1.1,45.4,2.9,1025.4,17.94,0.0,0.8,2.3,1
3.0,0.0,1.2,38.3,2.7,1028.0,20.12,0.0,0.0,3.0,1
1.8,0.0,2.2,51.6,3.5,1028.0,18.14,0.0,0.0,2.3,2
0.1,0.0,4.6,42.3,2.6,1023.7,18.23,0.0,0.0,2.6,1
3.4,0.0,1.9,36.6,2.7,1026.6,19.51,0.0,0.0,2.8,1
2.9,0.0,2.1,49.3,3.5,1016.6,14.68,0.0,1.9,2.6,1
9.3,0.0,3.0,41.9,4.7,1012.0,17.53,0.0,3.9,3.5,2
8.2,0.0,2.1,48.5,5.0,1011.2,17.26,0.0,4.6,3.3,1
-2.2,0.0,0.8,68.9,3.5,1027.6,16.37,0.0,5.5,1.7,1
2.1,0.0,1.1,50.9,3.6,1022.8,15.35,0.0,5.1,2.1,2
-0.5,0.0,3.3,46.4,2.7,1015.7,18.16,0.0,0.0,2.4,1
3.9,0.0,0.9,58.1,4.4,1016.4,12.65,0.0,4.6,1.7,1
2.7,0.0,1.4,61.1,4.5,1017.4,12.17,0.0,6.5,1.6,1
3.4,0.0,2.3,58.4,4.5,1024.2,8.19,0.0,8.3,1.3,1
1.8,0.0,1.5,53.4,3.4,1018.4,14.08,0.0,0.6,2.1,1
4.4,0.0,0.8,45.4,3.2,1021.4,15.29,0.0,3.1,2.7,2
2.6,0.0,0.6,49.9,3.5,1008.4,11.78,0.0,4.6,1.9,1
1.3,0.0,0.7,55.1,3.4,1009.8,12.88,0.0,4.6,1.5,1
